OBJECTID,admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin2Name_fr,admin2Pcode,admin3Name_fr,admin3Pcode,admin4Name_fr,admin4Pcode,admin4RefName,admin4AltName1_fr,admin4AltName2_fr,date,validOn,validTo
129,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Lakouanga Sénégalais,CF711212,Lakouanga Senegalais,NA,NA,1427760000000,1434326400000,NA
130,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Bacongo,CF711201,Bacongo,NA,NA,1427760000000,1434326400000,NA
131,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Castors II,CF711308,Castors II,NA,NA,1427760000000,1434326400000,NA
132,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Bordeau II,CF711204,Bordeau II,NA,NA,1427760000000,1434326400000,NA
133,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Sica Saidou,CF711221,Sica Saidou,NA,NA,1427760000000,1434326400000,NA
134,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Batambo,CF711202,Batambo,NA,NA,1427760000000,1434326400000,NA
135,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Bordeau I,CF711203,Bordeau I,NA,NA,1427760000000,1434326400000,NA
136,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Lakouanga VI,CF711215,Lakouanga VI,NA,NA,1427760000000,1434326400000,NA
137,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Yapele II,CF711223,Yapele II,NA,NA,1427760000000,1434326400000,NA
138,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Zebe,CF711226,Zebe,NA,NA,1427760000000,1434326400000,NA
139,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Kingoma,CF711208,Kingoma,NA,NA,1427760000000,1434326400000,NA
140,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Paris Congo,CF711217,Paris Congo,NA,NA,1427760000000,1434326400000,NA
141,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Sapéké II,CF711218,Sapeke II,NA,NA,1427760000000,1434326400000,NA
142,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Yapele I,CF711222,Yapele I,NA,NA,1427760000000,1434326400000,NA
143,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,Cité Christophe,CF711109,Cite Christophe,NA,NA,1427760000000,1434326400000,NA
144,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,Sica I,CF711116,Sica I,NA,NA,1427760000000,1434326400000,NA
145,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,Cité La Tour,CF711111,Cite La Tour,NA,NA,1427760000000,1434326400000,NA
146,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Kangba I,CF711207,Kangba I,NA,NA,1427760000000,1434326400000,NA
147,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,Sica-Assana,CF711115,Sica-Assana,NA,NA,1427760000000,1434326400000,NA
148,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,La Petite Coline,CF711114,La Petite Coline,NA,NA,1427760000000,1434326400000,NA
149,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,17 Villas,CF711102,17 Villas,NA,NA,1427760000000,1434326400000,NA
150,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,Cité Veret,CF711113,Cite Veret,NA,NA,1427760000000,1434326400000,NA
151,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,Cité des Evolués,CF711110,Cite des Evolues,NA,NA,1427760000000,1434326400000,NA
152,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Lakouanga I,CF711210,Lakouanga I,NA,NA,1427760000000,1434326400000,NA
153,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Yakité,CF711331,Yakite,NA,NA,1427760000000,1434326400000,NA
154,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Yambassa,CF711333,Yambassa,NA,NA,1427760000000,1434326400000,NA
155,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Gbaya-Ndombia I,CF711316,Gbaya-Ndombia I,NA,NA,1427760000000,1434326400000,NA
156,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Sanga Bibalé,CF711327,Sanga Bibale,NA,NA,1427760000000,1434326400000,NA
157,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Ramandji,CF711326,Ramandji,NA,NA,1427760000000,1434326400000,NA
158,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Gbaya- Km5,CF711315,Gbaya- Km5,NA,NA,1427760000000,1434326400000,NA
159,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Ouham-Guida,CF711324,Ouham-Guida,NA,NA,1427760000000,1434326400000,NA
160,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Foulbé,CF711313,Foulbe,NA,NA,1427760000000,1434326400000,NA
161,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Sénégalais,CF711330,Senegalais,NA,NA,1427760000000,1434326400000,NA
162,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Camerounais DLA,CF711304,Camerounais DLA,NA,NA,1427760000000,1434326400000,NA
163,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Sara-Kaba,CF711328,Sara-Kaba,NA,NA,1427760000000,1434326400000,NA
164,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Bangasara I,CF711302,Bangasara I,NA,NA,1427760000000,1434326400000,NA
165,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Yaloua,CF711332,Yaloua,NA,NA,1427760000000,1434326400000,NA
166,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
167,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
168,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
169,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
170,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117,Gbangouma IV,CF711704,Gbangouma IV,NA,NA,1427760000000,1434326400000,NA
171,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117,Saint Paul,CF711707,Saint Paul,NA,NA,1427760000000,1434326400000,NA
172,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117,Gbangouma I,CF711703,Gbangouma I,NA,NA,1427760000000,1434326400000,NA
173,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117,Ngougbe,CF711706,Ngougbe,NA,NA,1427760000000,1434326400000,NA
174,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
175,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
176,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
177,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,NA,NA,1427760000000,1434326400000,NA
178,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Yapele III,CF711224,Yapele III,NA,NA,1427760000000,1434326400000,NA
179,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 8,CF7118,Galabadja Sinistrés,CF711805,Galabadja Sinistres,NA,NA,1427760000000,1434326400000,NA
180,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 8,CF7118,Lipia III,CF711807,Lipia III,NA,NA,1427760000000,1434326400000,NA
181,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Gombongo V,CF711412,Gombongo V,NA,NA,1427760000000,1434326400000,NA
182,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Gombongo Wananga,CF711415,Gombongo Wananga,NA,NA,1427760000000,1434326400000,NA
183,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Votongbo II,CF711429,Votongbo II,NA,NA,1427760000000,1434326400000,NA
184,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 8,CF7118,Ngongonon V,CF711812,Ngongonon V,NA,NA,1427760000000,1434326400000,NA
185,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 8,CF7118,Ngongonon VII,CF711814,Ngongonon VII,NA,NA,1427760000000,1434326400000,NA
186,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 8,CF7118,Galabadja VI,CF711804,Galabadja VI,NA,NA,1427760000000,1434326400000,NA
187,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 8,CF7118,Ngongonon IV,CF711802,Ngongonon IV,NA,NA,1427760000000,1434326400000,NA
188,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 8,CF7118,Ngongonon II,CF711809,Ngongonon II,NA,NA,1427760000000,1434326400000,NA
189,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 8,CF7118,Galabadja II,CF711802,Galabadja II,NA,NA,1427760000000,1434326400000,NA
190,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 8,CF7118,Galabadja IV,CF711803,Galabadja IV,NA,NA,1427760000000,1434326400000,NA
191,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 8,CF7118,Galabadja I,CF711801,Galabadja I,NA,NA,1427760000000,1434326400000,NA
192,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,Cité ASECNA,CF711107,Cite ASECNA,NA,NA,1427760000000,1434326400000,NA
193,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,Balapa I, ,Balapa I,NA,NA,1427760000000,1434326400000,NA
194,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,MPoko Bac, ,MPoko Bac,NA,NA,1427760000000,1434326400000,NA
195,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,Pétévo, ,Petevo,NA,NA,1427760000000,1434326400000,NA
196,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,Aéroport, ,Aeroport,NA,NA,1427760000000,1434326400000,NA
197,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,Batalimo I, ,Batalimo I,NA,NA,1427760000000,1434326400000,NA
198,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,Sabrola, ,Sabrola,NA,NA,1427760000000,1434326400000,NA
199,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,PK12, ,PK12,NA,NA,1427760000000,1434326400000,NA
200,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,Poto Poto I, ,Poto Poto I,NA,NA,1427760000000,1434326400000,NA
201,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,Coline, ,Coline,NA,NA,1427760000000,1434326400000,NA
202,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,Balapa II, ,Balapa II,NA,NA,1427760000000,1434326400000,NA
