OBJECTID,admin2Name_en,admin2Name_vi,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_vi,admin2AltName2_vi,admin1Name_en,admin1Name_vi,admin1Pcode,admin0Name_en,admin0Name_vi,admin0Pcode,date,validOn,validTo
167,Dien Chau,Huyện Diễn Châu,VN40325,NA,NA,NA,NA,NA,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
168,Dien Khanh,Huyện Diên Khánh,VN51107,NA,NA,NA,NA,NA,Khanh Hoa,Khánh Hòa,VN511,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
169,Dinh Hoa,Huyện Định Hóa,VN21505,NA,NA,NA,NA,NA,Thai Nguyen,Thái Nguyên,VN215,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
170,Dinh Lap,Huyện Đình Lập,VN20919,NA,NA,NA,NA,NA,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
171,Dinh Quan,Huyện Định Quán,VN71305,NA,NA,NA,NA,NA,Dong Nai,Đồng Nai,VN713,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
172,Do Luong,Huyện Đô Lương,VN40329,NA,NA,NA,NA,NA,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
173,Do Son,Quận Đồ Sơn,VN10309,NA,NA,NA,NA,NA,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
174,Doan Hung,Huyện Đoan Hùng,VN21705,NA,NA,NA,NA,NA,Phu Tho,Phú Thọ,VN217,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
175,Don Duong,Huyện Đơn Dương,VN60707,NA,NA,NA,NA,NA,Lam Dong,Lâm Đồng,VN607,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
176,Dong Anh,Huyện Đông Anh,VN10117,NA,NA,NA,NA,NA,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
177,Dong Da,Quận Đống Đa,VN10109,NA,NA,NA,NA,NA,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
178,Dong Giang,Huyện Đông Giang,VN50305,NA,NA,NA,NA,NA,Quang Nam,Quảng Nam,VN503,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
179,Dong Ha,TP. Đông Hà,VN40901,NA,NA,NA,NA,NA,Quang Tri,Quảng Trị,VN409,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
180,Dong Hai,Huyện Đông Hải,VN82109,NA,NA,NA,NA,NA,Bac Lieu,Bạc Liêu,VN821,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
181,Dong Hoa,Huyện Đông Hòa,VN50912,NA,NA,NA,NA,NA,Phu Yen,Phú Yên,VN509,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
182,Dong Hoi,TP. Đồng Hới,VN40701,NA,NA,NA,NA,NA,Quang Binh,Quảng Bình,VN407,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
183,Dong Hung,Huyện Đông Hưng,VN11509,NA,NA,NA,NA,NA,Thai Binh,Thái Bình,VN115,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
184,Dong Hy,Huyện Đồng Hỷ,VN21511,NA,NA,NA,NA,NA,Thai Nguyen,Thái Nguyên,VN215,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
185,Dong Phu,Huyện Đồng Phú,VN70702,NA,NA,NA,NA,NA,Binh Phuoc,Bình Phước,VN707,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
186,Dong Son,Huyện Đông Sơn,VN40145,NA,NA,NA,NA,NA,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
187,Dong Trieu,Huyện Đông Triều,VN22521,NA,NA,NA,NA,NA,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
188,Dong Van,Huyện Đồng Văn,VN20103,NA,NA,NA,NA,NA,Ha Giang,Hà Giang,VN201,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
189,Dong Xoai,Thị xã Đồng Xoài,VN70701,NA,NA,NA,NA,NA,Binh Phuoc,Bình Phước,VN707,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
190,Dong Xuan,Huyện Đồng Xuân,VN50903,NA,NA,NA,NA,NA,Phu Yen,Phú Yên,VN509,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
191,Duc Co,Huyện Đức Cơ,VN60315,NA,NA,NA,NA,NA,Gia Lai,Gia Lai,VN603,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
192,Duc Hoa,Huyện Đức Hòa,VN80115,NA,NA,NA,NA,NA,Long An,Long An,VN801,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
193,Duc Hue,Huyện Đức Huệ,VN80113,NA,NA,NA,NA,NA,Long An,Long An,VN801,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
194,Duc Linh,Huyện Đức Linh,VN71515,NA,NA,NA,NA,NA,Binh Thuan,Bình Thuận,VN715,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
195,Duc Pho,Huyện Đức Phổ,VN50523,NA,NA,NA,NA,NA,Quang Ngai,Quảng Ngãi,VN505,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
196,Duc Tho,Huyện Đức Thọ,VN40507,NA,NA,NA,NA,NA,Ha Tinh,Hà Tĩnh,VN405,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
197,Duc Trong,Huyện Đức Trọng,VN60709,NA,NA,NA,NA,NA,Lam Dong,Lâm Đồng,VN607,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
198,Duong Kinh,Quận Dương Kinh,VN10310,NA,NA,NA,NA,NA,Hai Phong city,TP. Hải Phòng,VN103,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
199,Duong Minh Chau,Huyện Dương Minh Châu,VN70907,NA,NA,NA,NA,NA,Tay Ninh,Tây Ninh,VN709,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
200,Duy Tien,Huyện Duy Tiên,VN11103,NA,NA,NA,NA,NA,Ha Nam,Hà Nam,VN111,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
201,Duy Xuyen,Huyện Duy Xuyên,VN50311,NA,NA,NA,NA,NA,Quang Nam,Quảng Nam,VN503,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
202,Duyen Hai,Huyện Duyên Hải,VN81715,NA,NA,NA,NA,NA,Tra Vinh,Trà Vinh,VN817,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
203,EA Hleo,Huyện Ea H'leo,VN60503,NA,NA,NA,NA,NA,Dak Lak,Đăk Lắk,VN605,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
204,Ea Kar,Huyện Ea Kar,VN60515,NA,NA,NA,NA,NA,Dak Lak,Đăk Lắk,VN605,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
205,Ea Sup,Huyện Ea Súp,VN60505,NA,NA,NA,NA,NA,Dak Lak,Đăk Lắk,VN605,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
206,Gia Binh,Huyện Gia Bình,VN10612,NA,NA,NA,NA,NA,Bac Ninh,Bắc Ninh,VN106,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
207,Gia Lam,Huyện Gia Lâm,VN10119,NA,NA,NA,NA,NA,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
208,Gia Loc,Huyện Gia Lộc,VN10713,NA,NA,NA,NA,NA,Hai Duong,Hải Dương,VN107,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
209,Gia Nghia,Thị xã Gia Nghĩa,VN60611,NA,NA,NA,NA,NA,Dak Nong,Đăk Nông,VN606,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
210,Gia Rai,Huyện Giá Rai,VN82107,NA,NA,NA,NA,NA,Bac Lieu,Bạc Liêu,VN821,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
211,Gia Vien,Huyện Gia Viễn,VN11707,NA,NA,NA,NA,NA,Ninh Binh,Ninh Bình,VN117,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
212,Giang Thanh,Huyện Giang Thành,VN81326,NA,NA,NA,NA,NA,Kien Giang,Kiên Giang,VN813,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
213,Giao Thuy,Huyện Giao Thủy,VN11315,NA,NA,NA,NA,NA,Nam Dinh,Nam Định,VN113,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
214,Gio Linh,Huyện Gio Linh,VN40907,NA,NA,NA,NA,NA,Quang Tri,Quảng Trị,VN409,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
215,Giong Rieng,Huyện Giồng Riềng,VN81311,NA,NA,NA,NA,NA,Kien Giang,Kiên Giang,VN813,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
216,Giong Trom,Huyện Giồng Trôm,VN81109,NA,NA,NA,NA,NA,Ben Tre,Bến Tre,VN811,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
217,Go Cong,Thị xã Gò Công,VN80703,NA,NA,NA,NA,NA,Tien Giang,Tiền Giang,VN807,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
218,Go Cong Dong,Huyện Gò Công Đông,VN80717,NA,NA,NA,NA,NA,Tien Giang,Tiền Giang,VN807,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
219,Go Cong Tay,Huyện Gò Công Tây,VN80715,NA,NA,NA,NA,NA,Tien Giang,Tiền Giang,VN807,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
220,Go Dau,Huyện Gò Dầu,VN70915,NA,NA,NA,NA,NA,Tay Ninh,Tây Ninh,VN709,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
221,Go Quao,Huyện Gò Quao,VN81313,NA,NA,NA,NA,NA,Kien Giang,Kiên Giang,VN813,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
