OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
120,Somotillo,NI0511,NA,NA,NA,Chinandega,NI05,Nicaragua,NI,1507680000000,1597276800000,NA
121,Somoto,NI1106,NA,NA,NA,Madriz,NI11,Nicaragua,NI,1507680000000,1597276800000,NA
122,Telica,NI1010,NA,NA,NA,León,NI10,Nicaragua,NI,1507680000000,1597276800000,NA
123,Telpaneca,NI1107,NA,NA,NA,Madriz,NI11,Nicaragua,NI,1507680000000,1597276800000,NA
124,Terrabona,NI1412,NA,NA,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
125,Teustepe,NI0306,NA,NA,NA,Boaco,NI03,Nicaragua,NI,1507680000000,1597276800000,NA
126,Ticuantepe,NI1206,NA,NA,NA,Managua,NI12,Nicaragua,NI,1507680000000,1597276800000,NA
127,Tipitapa,NI1207,NA,NA,NA,Managua,NI12,Nicaragua,NI,1507680000000,1597276800000,NA
128,Tisma,NI1309,NA,NA,NA,Masaya,NI13,Nicaragua,NI,1507680000000,1597276800000,NA
129,Tola,NI1708,NA,NA,NA,Rivas,NI17,Nicaragua,NI,1507680000000,1597276800000,NA
130,Totogalpa,NI1108,NA,Totolgalpa,NA,Madriz,NI11,Nicaragua,NI,1507680000000,1597276800000,NA
131,Tuma-La Dalia,NI1413,NA,La Dalia,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
132,Villa Carlos Fonseca,NI1208,NA,Villa Carlos Fonseca A,NA,Managua,NI12,Nicaragua,NI,1507680000000,1597276800000,NA
133,Villa Sandino,NI0608,NA,NA,NA,Chontales,NI06,Nicaragua,NI,1507680000000,1597276800000,NA
134,Villanueva,NI0512,NA,NA,NA,Chinandega,NI05,Nicaragua,NI,1507680000000,1597276800000,NA
135,Waslala,NI0106,NA,NA,NA,Atlántico Norte,NI01,Nicaragua,NI,1507680000000,1597276800000,NA
136,Waspán,NI0107,Waspan,Waspam,NA,Atlántico Norte,NI01,Nicaragua,NI,1507680000000,1597276800000,NA
137,Wiwilí,NI0907,Wiwili,NA,NA,Jinotega,NI09,Nicaragua,NI,1507680000000,1597276800000,NA
138,Yalagüina,NI1109,Yalaguina,NA,NA,Madriz,NI11,Nicaragua,NI,1507680000000,1597276800000,NA
