OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,SenDist_en,SenDistPcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
389,Koshebe,NG008019004,Koshebe,Koshebe, ,Mafa,NG008019,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
390,Kpasham,NG002001008,Kpasham,Kpasham, ,Demsa,NG002001,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
391,Kubo,NG008027008,Kubo,Kubo, ,Shani,NG008027,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
392,Kubuku,NG008018004,Kubuku,Kubuku, ,Kwaya Kusar,NG008018,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
393,Kuburmbula,NG008006007,Kuburmbula,Kuburmbula, ,Chibok,NG008006,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
394,Kuda,NG008026007,Kuda,Kuda, ,Nganzai,NG008026,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
395,Kudokurgo,NG008001005,Kudokurgo,Kudokurgu, ,Abadam,NG008001,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
396,Kukareta Warsala,NG036003006,Kukareta Warsala,Kukareta/Warsala, ,Damaturu,NG036003,Yobe South,NG03603,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
397,Kukawa,NG008017008,Kukawa,Kukawa, ,Kukawa,NG008017,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
398,Kukayasku,NG036011006,Kukayasku,Kuka-Yasku, ,Machina,NG036011,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
399,Kukuri,NG036012007,Kukuri,Kukuri/Chiromari, ,Nangere,NG036012,Yobe South,NG03603,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
400,Kulli,NG008022007,Kulli,Kulli, ,Marte,NG008022,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
