OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
204,Punata,BO031401,NA,NA,NA,Punata,BO0314,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
205,Quiabaya,BO020604,NA,NA,NA,Larecaja,BO0206,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
206,Quillacollo,BO030901,NA,NA,NA,Quillacollo,BO0309,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
207,Quime,BO021002,NA,NA,NA,Inquisivi,BO0210,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
208,Quirusillas,BO070904,NA,NA,NA,Florida,BO0709,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
209,Ravelo,BO050402,NA,NA,NA,Chayanta,BO0504,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
210,Reyes,BO080301,NA,NA,NA,General José Ballivián,BO0803,Beni,BO08,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
211,Riberalta,BO080201,NA,NA,NA,Vaca Diez,BO0802,Beni,BO08,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
212,Roboré,BO070503,Robore,NA,NA,Chiquitos,BO0705,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
213,Sabaya,BO040901,NA,NA,NA,Sabaya,BO0409,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
214,Sacaba,BO031001,NA,NA,NA,Chapare,BO0310,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
215,Sacabamba,BO030404,NA,NA,NA,Esteban Arze,BO0304,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
216,Sacaca,BO050701,NA,NA,NA,Alonso de Ibáñez,BO0507,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
217,Saipina,BO071302,NA,NA,NA,Manuel María Caballero,BO0713,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
218,Salinas de Garcí Mendoza,BO040801,Salinas de Garci Mendoza,NA,NA,Ladislao Cabrera,BO0408,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
219,Samaipata,BO070901,NA,NA,NA,Florida,BO0709,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
220,San Agustín,BO051601,San Agustin,NA,NA,Enrique Baldivieso,BO0516,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
221,San Andrés,BO080602,San Andres,NA,NA,Marbán,BO0806,Beni,BO08,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
222,San Antonio de Esmoruco,BO051003,NA,NA,NA,Sur Lipez,BO0510,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
223,San Antonio de Lomerio,BO071104,NA,NA,NA,Ñuflo De Chávez,BO0711,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
224,San Benito,BO031403,NA,NA,NA,Punata,BO0314,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
225,San Borja,BO080302,NA,NA,NA,General José Ballivián,BO0803,Beni,BO08,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
226,San Buenaventura,BO021502,NA,NA,NA,Abel Iturralde,BO0215,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
227,San Carlos,BO070402,NA,NA,NA,Ichilo,BO0704,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
228,San Ignacio,BO070301,NA,NA,NA,Velasco,BO0703,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
229,San Ignacio,BO080501,NA,NA,NA,Moxos,BO0805,Beni,BO08,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
230,San Javier,BO071102,NA,NA,NA,Ñuflo De Chávez,BO0711,Santa Cruz,BO07,Bolivia (Estado Plurinacional de),BO,1523923200000,1589414400000,NA
