OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1443,Tang Krasau,KH060505,NA,NA,NA,Prasat Sambour,KH0605,Kampong Thom,KH06,Cambodia,KH,1413244800000,1538611200000,NA
1444,Tang Krouch,KH050711,NA,NA,NA,Samraong Tong,KH0507,Kampong Speu,KH05,Cambodia,KH,1413244800000,1538611200000,NA
1445,Tang Samraong,KH050610,NA,NA,NA,Phnum Sruoch,KH0506,Kampong Speu,KH05,Cambodia,KH,1413244800000,1538611200000,NA
1446,Tang Sya,KH050611,NA,NA,NA,Phnum Sruoch,KH0506,Kampong Speu,KH05,Cambodia,KH,1413244800000,1538611200000,NA
1447,Tang Yab,KH210613,NA,NA,NA,Prey Kabbas,KH2106,Takeo,KH21,Cambodia,KH,1413244800000,1538611200000,NA
1448,Tani,KH070111,NA,NA,NA,Angkor Chey,KH0701,Kampot,KH07,Cambodia,KH,1413244800000,1538611200000,NA
1449,Tasu,KH130102,NA,NA,NA,Chey Saen,KH1301,Preah Vihear,KH13,Cambodia,KH,1413244800000,1538611200000,NA
1450,Tbaeng,KH060208,NA,NA,NA,Kampong Svay,KH0602,Kampong Thom,KH06,Cambodia,KH,1413244800000,1538611200000,NA
1451,Tbaeng,KH080125,NA,NA,NA,Kandal Stueng,KH0801,Kandal,KH08,Cambodia,KH,1413244800000,1538611200000,NA
1452,Tbaeng,KH170306,NA,NA,NA,Banteay Srei,KH1703,Siemreap,KH17,Cambodia,KH,1413244800000,1538611200000,NA
1453,Tbaeng Khpos,KH040708,NA,NA,NA,Sameakki Mean Chey,KH0407,Kampong Chhnang,KH04,Cambodia,KH,1413244800000,1538611200000,NA
1454,Tboung Krapeu,KH060710,NA,NA,NA,Santuk,KH0607,Kampong Thom,KH06,Cambodia,KH,1413244800000,1538611200000,NA
1455,Tean Kam,KH010407,NA,NA,NA,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,1413244800000,1538611200000,NA
1456,Teun,KH160404,NA,NA,NA,Koun Mom,KH1604,Ratanak Kiri,KH16,Cambodia,KH,1413244800000,1538611200000,NA
1457,Thala Barivat,KH190511,NA,NA,NA,Thala Barivat,KH1905,Stung Treng,KH19,Cambodia,KH,1413244800000,1538611200000,NA
1458,Theay,KH140109,NA,NA,NA,Ba Phnum,KH1401,Prey Veng,KH14,Cambodia,KH,1413244800000,1538611200000,NA
1459,Thipakdei,KH021301,NA,NA,NA,Koas Krala,KH0213,Battambang,KH02,Cambodia,KH,1413244800000,1538611200000,NA
1460,Thkov,KH140313,NA,NA,NA,Kampong Trabaek,KH1403,Prey Veng,KH14,Cambodia,KH,1413244800000,1538611200000,NA
1461,Thlat,KH220105,NA,NA,NA,Anlong Veaeng,KH2201,Oddar Meanchey,KH22,Cambodia,KH,1413244800000,1538611200000,NA
1462,Thlea Prachum,KH210506,NA,NA,NA,Kaoh Andaet,KH2105,Takeo,KH21,Cambodia,KH,1413244800000,1538611200000,NA
1463,Thlok,KH200517,NA,NA,NA,Svay Chrum,KH2005,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
1464,Thlok,KH211013,NA,NA,NA,Treang,KH2110,Takeo,KH21,Cambodia,KH,1413244800000,1538611200000,NA
1465,Thlok Vien,KH040709,NA,NA,NA,Sameakki Mean Chey,KH0407,Kampong Chhnang,KH04,Cambodia,KH,1413244800000,1538611200000,NA
1466,Thma Andaeuk,KH100608,NA,NA,NA,Chetr Borei,KH1006,Kratie,KH10,Cambodia,KH,1413244800000,1538611200000,NA
1467,Thma Da,KH150605,NA,NA,NA,Veal Veaeng,KH1506,Pursat,KH15,Cambodia,KH,1413244800000,1538611200000,NA
1468,Thma Doun Pov,KH090706,NA,NA,NA,Thma Bang,KH0907,Koh Kong,KH09,Cambodia,KH,1413244800000,1538611200000,NA
1469,Thma Edth,KH040510,NA,NA,NA,Kampong Tralach,KH0405,Kampong Chhnang,KH04,Cambodia,KH,1413244800000,1538611200000,NA
1470,Thma Kor,KH080614,NA,NA,NA,Lvea Aem,KH0806,Kandal,KH08,Cambodia,KH,1413244800000,1538611200000,NA
1471,Thma Kreae,KH100609,NA,NA,NA,Chetr Borei,KH1006,Kratie,KH10,Cambodia,KH,1413244800000,1538611200000,NA
1472,Thma Pech,KH250713,NA,NA,NA,Tboung Khmum,KH2507,Tboung Khmum,KH25,Cambodia,KH,1413244800000,1538611200000,NA
1473,Thma Pun,KH031313,NA,NA,NA,Prey Chhor,KH0313,Kampong Cham,KH03,Cambodia,KH,1413244800000,1538611200000,NA
1474,Thma Pun,KH140407,NA,NA,NA,Kanhchriech,KH1404,Prey Veng,KH14,Cambodia,KH,1413244800000,1538611200000,NA
1475,Thma Puok,KH010704,NA,NA,NA,Thma Puok,KH0107,Banteay Meanchey,KH01,Cambodia,KH,1413244800000,1538611200000,NA
1476,Thma Sa,KH090104,NA,NA,NA,Botum Sakor,KH0901,Koh Kong,KH09,Cambodia,KH,1413244800000,1538611200000,NA
1477,Thmea,KH130105,NA,NA,NA,Chey Saen,KH1301,Preah Vihear,KH13,Cambodia,KH,1413244800000,1538611200000,NA
1478,Thmea,KH200302,NA,NA,NA,Rumduol,KH2003,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
1479,Thmei,KH070716,NA,NA,NA,Tuek Chhou,KH0707,Kampot,KH07,Cambodia,KH,1413244800000,1538611200000,NA
1480,Thmei,KH080108,NA,NA,NA,Kandal Stueng,KH0801,Kandal,KH08,Cambodia,KH,1413244800000,1538611200000,NA
1481,Thmei,KH100610,NA,NA,NA,Chetr Borei,KH1006,Kratie,KH10,Cambodia,KH,1413244800000,1538611200000,NA
1482,Thmei,KH130403,NA,NA,NA,Kuleaen,KH1304,Preah Vihear,KH13,Cambodia,KH,1413244800000,1538611200000,NA
1483,Thmei,KH200211,NA,NA,NA,Kampong Rou,KH2002,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
1484,Thna Thnong,KH200310,NA,NA,NA,Rumduol,KH2003,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
1485,Thummoda Ar,KH050712,NA,NA,NA,Samraong Tong,KH0507,Kampong Speu,KH05,Cambodia,KH,1413244800000,1538611200000,NA
1486,Ti Pou,KH060709,NA,NA,NA,Santuk,KH0607,Kampong Thom,KH06,Cambodia,KH,1413244800000,1538611200000,NA
1487,Tien,KH120520,NA,NA,NA,Dangkao,KH1205,Phnom Penh,KH12,Cambodia,KH,1413244800000,1538611200000,NA
1488,Ting Chak,KH160306,NA,NA,NA,Bar Kaev,KH1603,Ratanak Kiri,KH16,Cambodia,KH,1413244800000,1538611200000,NA
1489,Tma Kaev,KH190305,NA,NA,NA,Siem Pang,KH1903,Stung Treng,KH19,Cambodia,KH,1413244800000,1538611200000,NA
1490,Tnaot,KH140408,NA,NA,NA,Kanhchriech,KH1404,Prey Veng,KH14,Cambodia,KH,1413244800000,1538611200000,NA
1491,Tnaot,KH200212,NA,NA,NA,Kampong Rou,KH2002,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
1492,Tnaot,KH210213,NA,NA,NA,Bati,KH2102,Takeo,KH21,Cambodia,KH,1413244800000,1538611200000,NA
1493,Tnaot Chum,KH060117,NA,NA,NA,Baray,KH0601,Kampong Thom,KH06,Cambodia,KH,1413244800000,1538611200000,NA
1494,Tnaot Chum,KH150311,NA,NA,NA,Krakor,KH1503,Pursat,KH15,Cambodia,KH,1413244800000,1538611200000,NA
1495,Tnoat Chong Srang,KH070209,NA,NA,NA,Banteay Meas,KH0702,Kampot,KH07,Cambodia,KH,1413244800000,1538611200000,NA
1496,Toap Mean,KH050806,NA,NA,NA,Thpong,KH0508,Kampong Speu,KH05,Cambodia,KH,1413244800000,1538611200000,NA
1497,Tong Rong,KH031314,NA,NA,NA,Prey Chhor,KH0313,Kampong Cham,KH03,Cambodia,KH,1413244800000,1538611200000,NA
1498,Tong Tralach,KH031414,NA,NA,NA,Srei Santhor,KH0314,Kampong Cham,KH03,Cambodia,KH,1413244800000,1538611200000,NA
1499,Tonle Basak,KH120101,NA,NA,NA,Chamkar Mon,KH1201,Phnom Penh,KH12,Cambodia,KH,1413244800000,1538611200000,NA
1500,Tonle Bet,KH250714,NA,NA,NA,Tboung Khmum,KH2507,Tboung Khmum,KH25,Cambodia,KH,1413244800000,1538611200000,NA
