OBJECTID,admin3Name_en,admin3Name_fr,admin3Name_ht,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_fr,admin3AltName2_fr,admin3AltName1_ht,admin3AltName2_ht,admin2Name_en,admin2Name_fr,admin2Name_ht,admin2Pcode,admin1Name_en,admin1Name_fr,admin1Name_ht,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Name_ht,admin0Pcode,date,validOn,validTo
311,3e Section Dame,3e Section Dame, ,HT0931-03,NA,NA,NA,NA,NA,NA,NA,Mole Saint Nicolas,Môle Saint Nicolas, ,HT0931,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
312,3e Section Danglise,3e Section Danglise, ,HT0812-03,NA,NA,NA,NA,NA,NA,NA,Abricots,Abricots, ,HT0812,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
313,3e Section de Corail,3e Section de Corail, ,HT0352-03,NA,NA,NA,NA,NA,NA,NA,Port-Margot,Port-Margot, ,HT0352,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
314,3e Section des Bayes,3e Section des Bayes, ,HT0623-03,NA,NA,NA,NA,NA,NA,NA,Boucan Carre,Boucan Carré, ,HT0623,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
315,3e Section des Granges,3e Section des Granges, ,HT0921-03,NA,NA,NA,NA,NA,NA,NA,Saint-Louis du Nord,Saint-Louis du Nord, ,HT0921,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
316,3e Section des Vases,3e Section des Vases, ,HT0141-03,NA,NA,NA,NA,NA,NA,NA,Arcahaie,Arcahaie, ,HT0141,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
317,3e Section Desormeau,3e Section Desormeau, ,HT0822-03,NA,NA,NA,NA,NA,NA,NA,Dame Marie,Dame Marie, ,HT0822,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
318,3e Section Dessources,3e Section Dessources, ,HT1011-03,NA,NA,NA,NA,NA,NA,NA,Miragoane,Miragoâne, ,HT1011,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
319,3e Section Etang du Jonc,3e Section Etang du Jonc, ,HT0114-03,NA,NA,NA,NA,NA,NA,NA,Petion-Ville,Pétion-Ville, ,HT0114,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
320,3e Section Fond Parisien,3e Section Fond Parisien, ,HT0133-03,NA,NA,NA,NA,NA,NA,NA,Ganthier,Ganthier, ,HT0133,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
321,3e Section Fond Tortue,3e Section Fond Tortue, ,HT1031-03,NA,NA,NA,NA,NA,NA,NA,Baraderes,Baradères, ,HT1031,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
322,3e Section Garcasse,3e Section Garcasse, ,HT0823-03,NA,NA,NA,NA,NA,NA,NA,Les Irois,Les Irois, ,HT0823,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
323,3e Section Genipailler,3e Section Genipailler, ,HT0323-03,NA,NA,NA,NA,NA,NA,NA,Milot,Milot, ,HT0323,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
324,3e Section Goyavier,3e Section Goyavier, ,HT0531-03,NA,NA,NA,NA,NA,NA,NA,Saint-Marc,Saint-Marc, ,HT0531,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
325,3e Section Grand Boucan,3e Section Grand Boucan, ,HT0322-03,NA,NA,NA,NA,NA,NA,NA,Plaine du Nord,Plaine du Nord, ,HT0322,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
