OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
968,Mariano Escobedo,MX30101,NA,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
969,Marín,MX19034,Marin,NA,NA,Nuevo León,MX19,México,MX,1517529600000,1592438400000,NA
970,Mariscala de Juárez,MX20055,Mariscala de Juarez,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
971,Marquelia,MX12077,NA,NA,NA,Guerrero,MX12,México,MX,1517529600000,1592438400000,NA
972,Marqués de Comillas,MX07116,Marques de Comillas,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
973,Martínez de la Torre,MX30102,Martinez de la Torre,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
974,Mártir de Cuilapan,MX12042,Martir de Cuilapan,NA,NA,Guerrero,MX12,México,MX,1517529600000,1592438400000,NA
975,Mártires de Tacubaya,MX20056,Martires de Tacubaya,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
976,Mascota,MX14058,NA,NA,NA,Jalisco,MX14,México,MX,1517529600000,1592438400000,NA
977,Matachí,MX08043,Matachi,NA,NA,Chihuahua,MX08,México,MX,1517529600000,1592438400000,NA
978,Matamoros,MX05017,NA,NA,NA,Coahuila de Zaragoza,MX05,México,MX,1517529600000,1592438400000,NA
979,Matamoros,MX08044,NA,NA,NA,Chihuahua,MX08,México,MX,1517529600000,1592438400000,NA
980,Matamoros,MX28022,NA,NA,NA,Tamaulipas,MX28,México,MX,1517529600000,1592438400000,NA
981,Matehuala,MX24020,NA,NA,NA,San Luis Potosí,MX24,México,MX,1517529600000,1592438400000,NA
982,Matías Romero Avendaño,MX20057,Matias Romero Avendano,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
983,Matlapa,MX24057,NA,NA,NA,San Luis Potosí,MX24,México,MX,1517529600000,1592438400000,NA
984,Maxcanú,MX31048,Maxcanu,NA,NA,Yucatán,MX31,México,MX,1517529600000,1592438400000,NA
985,Mayapán,MX31049,Mayapan,NA,NA,Yucatán,MX31,México,MX,1517529600000,1592438400000,NA
986,Mazamitla,MX14059,NA,NA,NA,Jalisco,MX14,México,MX,1517529600000,1592438400000,NA
987,Mazapa de Madero,MX07053,NA,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
988,Mazapil,MX32026,NA,NA,NA,Zacatecas,MX32,México,MX,1517529600000,1592438400000,NA
989,Mazapiltepec de Juárez,MX21096,Mazapiltepec de Juarez,NA,NA,Puebla,MX21,México,MX,1517529600000,1592438400000,NA
990,Mazatán,MX07054,Mazatan,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
991,Mazatán,MX26037,Mazatan,NA,NA,Sonora,MX26,México,MX,1517529600000,1592438400000,NA
992,Mazatecochco de José María Morelos,MX29017,Mazatecochco de Jose Maria Morelos,NA,NA,Tlaxcala,MX29,México,MX,1517529600000,1592438400000,NA
993,Mazatepec,MX17014,NA,NA,NA,Morelos,MX17,México,MX,1517529600000,1592438400000,NA
994,Mazatlán,MX25012,Mazatlan,NA,NA,Sinaloa,MX25,México,MX,1517529600000,1592438400000,NA
995,Mazatlán Villa de Flores,MX20058,Mazatlan Villa de Flores,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
996,Mecatlán,MX30103,Mecatlan,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
997,Mecayapan,MX30104,NA,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
998,Medellín,MX30105,Medellin,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
999,Melchor Ocampo,MX15053,NA,NA,NA,México,MX15,México,MX,1517529600000,1592438400000,NA
