OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_en,admin0Name_es,admin0Pcode,date,validOn,validTo
176,Chontapunta,EC150153,NA,NA,NA,Tena,EC1501,Napo,EC15,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
177,Chordeleg,EC011150,NA,NA,NA,Chordeleg,EC0111,Azuay,EC01,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
178,Chorocopte,EC030352,NA,NA,NA,Cañar,EC0303,Cañar,EC03,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
179,Chuga,EC100551,NA,NA,NA,Pimampiro,EC1005,Imbabura,EC10,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
180,Chugchillan,EC050751,NA,NA,NA,Sigchos,EC0507,Cotopaxi,EC05,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
181,Chumblin,EC010751,NA,NA,NA,San Fernando,EC0107,Azuay,EC01,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
182,Chumunde,EC080752,NA,NA,NA,Rioverde,EC0807,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
183,Chunchi,EC060550,NA,NA,NA,Chunchi,EC0605,Chimborazo,EC06,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
184,Chupianza,EC140552,NA,NA,NA,Santiago,EC1405,Morona Santiago,EC14,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
185,Chuquiribamba,EC110152,NA,NA,NA,Loja,EC1101,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
186,Chura (Chancama) (Cab. en el Yerbero),EC080452,NA,NA,NA,Quininde,EC0804,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
