OBJECTID,admin4Name_en,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
552,Kakiri Town Council,UG10260104,NA,NA,NA,Busiro,UG102601,Wakiso,UG1026,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
553,Kakoba Division,UG41260201,NA,NA,NA,Mbarara Municipality,UG412602,Mbarara,UG4126,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
554,Kakomongole,UG30890101,NA,NA,NA,Chekwi,UG308901,Nakapiripirit,UG3089,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
555,Kakooge,UG10230101,NA,NA,NA,Buruli,UG102301,Nakasongola,UG1023,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
556,Kakooge Town Council,UG10230102,NA,NA,NA,Buruli,UG102301,Nakasongola,UG1023,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
557,Kakoro,UG20370104,NA,NA,NA,Butebo,UG203701,Butebo,UG2037,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
558,Kakule,UG20280104,NA,NA,NA,Budaka,UG202801,Budaka,UG2028,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
559,Kakumiro  Town Council,UG41120104,NA,NA,NA,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
560,Kakure,UG20420104,NA,NA,NA,Kalaki,UG204201,Kalaki,UG2042,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
561,Kakutu,UG20480107,NA,NA,NA,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
562,Kakuuto,UG10130102,NA,NA,NA,Kyotera,UG101301,Kyotera,UG1013,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
563,Kalagala,UG10140102,NA,NA,NA,Bamunanika,UG101401,Luwero,UG1014,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
564,Kalaki,UG20420105,NA,NA,NA,Kalaki,UG204201,Kalaki,UG2042,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
565,Kalaki Town Council,UG20420106,NA,NA,NA,Kalaki,UG204201,Kalaki,UG2042,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
566,Kalamba,UG10030104,NA,NA,NA,Butambala,UG100301,Butambala,UG1003,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
567,Kalangaalo,UG10180303,NA,NA,NA,Mityana,UG101803,Mityana,UG1018,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
568,Kalangala Town Council,UG10060102,NA,NA,NA,Bujumba,UG100601,Kalangala,UG1006,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
569,Kalapata,UG30750105,NA,NA,NA,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
570,Kaliiro,UG10160101,NA,NA,NA,Kabula,UG101601,Lyantonde,UG1016,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
571,Kaliro Town Council,UG20430106,NA,NA,NA,Bulamogi,UG204301,Kaliro,UG2043,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
572,Kalisizo,UG10130103,NA,NA,NA,Kyotera,UG101301,Kyotera,UG1013,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
573,Kalisizo Town Council,UG10130104,NA,NA,NA,Kyotera,UG101301,Kyotera,UG1013,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
574,Kalongo,UG10230103,NA,NA,NA,Buruli,UG102301,Nakasongola,UG1023,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
575,Kalongo Town Council,UG30660104,NA,NA,NA,Agago,UG306601,Agago,UG3066,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
576,Kalungi,UG10230104,NA,NA,NA,Buruli,UG102301,Nakasongola,UG1023,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
577,Kalungu,UG10070102,NA,NA,NA,Kalungu,UG100701,Kalungu,UG1007,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
578,Kalungu Town Council,UG10070103,NA,NA,NA,Kalungu,UG100701,Kalungu,UG1007,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
579,Kalwana,UG10090102,NA,NA,NA,Kassanda,UG100901,Kassanda,UG1009,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
580,Kambuga,UG41140102,NA,NA,NA,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
581,Kambuga Town Council,UG41140103,NA,NA,NA,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
582,Kamdini,UG30960106,NA,NA,NA,Oyam,UG309601,Oyam,UG3096,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
583,Kameke,UG20590206,NA,NA,NA,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
584,Kameruka,UG20280203,NA,NA,NA,Iki-Iki,UG202802,Budaka,UG2028,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
585,Kamet,UG20330106,NA,NA,NA,Kongasis,UG203301,Bukwo,UG2033,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
586,Kamion,UG30750106,NA,NA,NA,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
587,Kamira,UG10140103,NA,NA,NA,Bamunanika,UG101401,Luwero,UG1014,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
588,Kammengo,UG10190102,NA,NA,NA,Mawokota,UG101901,Mpigi,UG1019,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
589,Kamonkoli,UG20280204,NA,NA,NA,Iki-Iki,UG202802,Budaka,UG2028,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
590,Kamu,UG20340113,NA,NA,NA,Bulambuli,UG203401,Bulambuli,UG2034,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
591,Kamuda,UG20620104,NA,NA,NA,Soroti,UG206201,Soroti,UG2062,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
592,Kamuganguzi,UG41090204,NA,NA,NA,Ndorwa,UG410902,Kabale,UG4109,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
593,Kamuge,UG20590207,NA,NA,NA,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
594,Kamukuzi Division,UG41260202,NA,NA,NA,Mbarara Municipality,UG412602,Mbarara,UG4126,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
595,Kamwenge,UG41130108,NA,NA,NA,Kibale,UG411301,Kamwenge,UG4113,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
596,Kamwenge Town Council,UG41130109,NA,NA,NA,Kibale,UG411301,Kamwenge,UG4113,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
597,Kamwezi,UG41320102,NA,NA,NA,Rukiga,UG413201,Rukiga,UG4132,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
598,Kanaba,UG41210104,NA,NA,NA,Bufumbira,UG412101,Kisoro,UG4121,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
599,Kanara,UG41220102,NA,NA,NA,Kitagwenda,UG412201,Kitagwenda,UG4122,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
600,Kanara,UG41280103,NA,NA,NA,Ntoroko,UG412801,Ntoroko,UG4128,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
601,Kanara Town Council,UG41280104,NA,NA,NA,Ntoroko,UG412801,Ntoroko,UG4128,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
602,Kangai,UG30730108,NA,NA,NA,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
603,Kanginima,UG20370105,NA,NA,NA,Butebo,UG203701,Butebo,UG2037,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
604,Kango,UG31000107,NA,NA,NA,Okoro,UG310001,Zombo,UG3100,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
605,Kangulumira,UG10100202,NA,NA,NA,Ntenjeru,UG101002,Kayunga,UG1010,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
606,Kanoni,UG41160104,NA,NA,NA,Kazo,UG411601,Kazo,UG4116,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
607,Kanoni Town Council,UG10050102,NA,NA,NA,Gomba,UG100501,Gomba,UG1005,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
608,Kanungu Town Council,UG41140104,NA,NA,NA,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
609,Kanyabwanga,UG41270103,NA,NA,NA,Ruhinda,UG412701,Mitooma,UG4127,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
610,Kanyantorogo,UG41140105,NA,NA,NA,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
611,Kanyaryeru,UG41190101,NA,NA,NA,Nyabushozi,UG411901,Kiruhura,UG4119,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
612,Kanyegaramire,UG41240106,NA,NA,NA,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
613,Kanyum,UG20490102,NA,NA,NA,Kumi,UG204901,Kumi,UG2049,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
614,Kapedo,UG30760114,NA,NA,NA,Dodoth,UG307601,Karenga,UG3076,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
615,Kapeeka,UG10220102,NA,NA,NA,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
616,Kapeke,UG10110104,NA,NA,NA,Kiboga,UG101101,Kiboga,UG1011,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
617,Kapelebyong,UG20460103,NA,NA,NA,Kapelebyong,UG204601,Kapelebyong,UG2046,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
618,Kapelebyong Town Council,UG20460104,NA,NA,NA,Kapelebyong,UG204601,Kapelebyong,UG2046,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
619,Kapir,UG20580101,NA,NA,NA,Ngora,UG205801,Ngora,UG2058,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
620,Kaproron,UG20500104,NA,NA,NA,Kween,UG205001,Kween,UG2050,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
621,Kaproron Town Council,UG20500105,NA,NA,NA,Kween,UG205001,Kween,UG2050,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
622,Kapsinda,UG20450206,NA,NA,NA,Tingey,UG204502,Kapchorwa,UG2045,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
623,Kaptanya,UG20450207,NA,NA,NA,Tingey,UG204502,Kapchorwa,UG2045,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
624,Kaptererwo,UG20330107,NA,NA,NA,Kongasis,UG203301,Bukwo,UG2033,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
625,Kaptoyoy,UG20500106,NA,NA,NA,Kween,UG205001,Kween,UG2050,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
626,Kaptum,UG20500107,NA,NA,NA,Kween,UG205001,Kween,UG2050,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
627,Kapujan,UG20470201,NA,NA,NA,Toroma,UG204702,Katakwi,UG2047,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
628,Kapyanga,UG20300207,NA,NA,NA,Bukooli,UG203002,Bugiri,UG2030,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
629,Karago Town Council,UG41100105,NA,NA,NA,Burahya,UG411001,Kabarole,UG4110,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
630,Karama,UG41170104,NA,NA,NA,Buyanja,UG411701,Kibaale,UG4117,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
631,Karambi,UG41100106,NA,NA,NA,Burahya,UG411001,Kabarole,UG4110,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
