OBJECTID,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
20,Bambara Maoudé,ML060301,Bambara Maoude,NA,NA,Gourma-Rharous,ML0603,Tombouctou,ML06,Mali (le),ML,1369958400000,1564704000000,NA
21,Banamba,ML020101,NA,NA,NA,Banamba,ML0201,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
22,Banco,ML020201,NA,NA,NA,Dioila,ML0202,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
23,Bancoumana,ML020402,NA,NA,NA,Kati,ML0204,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
24,Bandiagara,ML050101,NA,NA,NA,Bandiagara,ML0501,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
25,Bangassi,ML010301,NA,NA,NA,Kayes,ML0103,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
26,Baniéré Koré,ML010601,Baniere Kore,NA,NA,Nioro,ML0106,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
27,Banikane,ML060302,NA,NA,NA,Gourma-Rharous,ML0603,Tombouctou,ML06,Mali (le),ML,1369958400000,1564704000000,NA
28,Banikane Narhawa,ML060401,NA,NA,NA,Niafunké,ML0604,Tombouctou,ML06,Mali (le),ML,1369958400000,1564704000000,NA
29,Bankass,ML050201,NA,NA,NA,Bankass,ML0502,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
30,Bara,ML070102,NA,NA,NA,Ansongo,ML0701,Gao,ML07,Mali (le),ML,1369958400000,1564704000000,NA
31,Bara Sara,ML050102,NA,NA,NA,Bandiagara,ML0501,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
32,Baramandougou,ML040501,NA,NA,NA,San,ML0405,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
33,Baraouéli,ML040101,Baraoueli,NA,NA,Baraouéli,ML0401,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
34,Barapireli,ML050502,NA,NA,NA,Koro,ML0505,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
35,Bassirou,ML050601,NA,NA,NA,Mopti,ML0506,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
36,Baya,ML030601,NA,NA,NA,Yanfolila,ML0306,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
37,Baye,ML010401,NA,NA,NA,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
38,Baye,ML050202,NA,NA,NA,Bankass,ML0502,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
39,Beguene,ML040201,NA,NA,NA,Bla,ML0402,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
40,Bellen,ML040602,NA,NA,NA,Ségou,ML0406,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
41,Béma,ML010201,Bema,NA,NA,Diéma,ML0102,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
42,Ben Kadi,ML020102,NA,NA,NA,Banamba,ML0201,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
43,Bendougouba,ML010502,NA,NA,NA,Kita,ML0105,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
44,Benena,ML040701,NA,NA,NA,Tominian,ML0407,Ségou,ML04,Mali (le),ML,1369958400000,1564704000000,NA
45,Benkadi,ML020202,NA,NA,NA,Dioila,ML0202,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
46,Benkadi,ML020302,NA,NA,NA,Kangaba,ML0203,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
47,Benkadi,ML030501,NA,NA,NA,Sikasso,ML0305,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
48,Benkadi Founia,ML010503,NA,NA,NA,Kita,ML0105,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
49,Ber,ML060502,NA,NA,NA,Tombouctou,ML0605,Tombouctou,ML06,Mali (le),ML,1369958400000,1564704000000,NA
