OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_en,admin0Name_es,admin0Pcode,date,validOn,validTo
1729,Tomepampa,PE040810,NA,NA,NA,La Union,PE0408,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1730,Tongod,PE061112,NA,NA,NA,San Miguel,PE0611,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1731,Torata,PE180106,NA,NA,NA,Mariscal Nieto,PE1801,Moquegua,PE18,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1732,Toraya,PE030416,NA,NA,NA,Aymaraes,PE0304,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1733,Toribio Casanova,PE060615,NA,NA,NA,Cutervo,PE0606,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1734,Toro,PE040811,NA,NA,NA,La Union,PE0408,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1735,Torres Causana,PE160110,NA,NA,NA,Maynas,PE1601,Loreto,PE16,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1736,Totora,PE010611,NA,NA,NA,Rodriguez de Mendoza,PE0106,Amazonas,PE01,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1737,Totos,PE050206,NA,NA,NA,Cangallo,PE0502,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1738,Tournavista,PE100904,NA,NA,NA,Puerto Inca,PE1009,Huanuco,PE10,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1739,Tres de Diciembre,PE120908,NA,NA,NA,Chupaca,PE1209,Junin,PE12,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1740,Tres Unidos,PE220710,NA,NA,NA,Picota,PE2207,San Martin,PE22,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1741,Trita,PE010523,NA,NA,NA,Luya,PE0105,Amazonas,PE01,Peru,Perú (el),PE,1437696000000,1594684800000,NA
