admin0Name,admin0Name_da,admin0Pcode,admin1Name,admin1Name_da,admin1Pcode,admin2AltName1,admin2AltName1_da,admin2AltName2,admin2AltName2_da,admin2Name,admin2Name_da,admin2Pcode,admin2RefName,regionCode,regionName,regionName_da,admin2Name_ref,admin1Name_ref,admin0Name_ref
Afghanistan,افغانستان,AF,Faryab,فاریاب,AF29,NA,NA,NA,NA,Shirin Tagab,شیرین تگاب,AF2906,NA,NR,Northern,سهیلی حوزه,shirin_tagab,faryab,afghanistan
Afghanistan,افغانستان,AF,Balkh,بلخ,AF21,NA,NA,NA,NA,Sholgareh,شولگره,AF2107,NA,NR,Northern,سهیلی حوزه,sholgareh,balkh,afghanistan
Afghanistan,افغانستان,AF,Kandahar,کندهار,AF27,NA,NA,NA,NA,Shorabak,شور آبک,AF2714,NA,SR,Southern,جنوبی حوزه,shorabak,kandahar,afghanistan
Afghanistan,افغانستان,AF,Balkh,بلخ,AF21,NA,NA,NA,NA,Shortepa,شور تیپه,AF2112,NA,NR,Northern,سهیلی حوزه,shortepa,balkh,afghanistan
Afghanistan,افغانستان,AF,Badakhshan,بدخشان,AF17,NA,NA,NA,NA,Shuhada,شهدا,AF1712,NA,NE,North Eastern,سهیل ختیځه حوزه,shuhada,badakhshan,afghanistan
Afghanistan,افغانستان,AF,Panjsher,پنجشیر,AF08,NA,NA,NA,NA,Shutul,شُتل,AF0806,NA,CR,Capital,مرکزی حوزه,shutul,panjsher,afghanistan
Afghanistan,افغانستان,AF,Sar-e-Pul,سرپل,AF22,NA,NA,NA,NA,Sozmaqala,سوزمه قلعه,AF2204,NA,NR,Northern,سهیلی حوزه,sozmaqala,sar_e_pul,afghanistan
Afghanistan,افغانستان,AF,Khost,خوست,AF14,NA,NA,NA,NA,Spera,سپیره,AF1411,NA,SE,South Eastern,جنوب ختیځه حوزه,spera,khost,afghanistan
Afghanistan,افغانستان,AF,Kandahar,کندهار,AF27,NA,NA,NA,NA,Spin Boldak,سپین بولدک,AF2711,NA,SR,Southern,جنوبی حوزه,spin_boldak,kandahar,afghanistan
Afghanistan,افغانستان,AF,Parwan,پروان,AF03,NA,NA,NA,NA,Surkh-e-Parsa,سرخ پارسا,AF0309,NA,CR,Capital,مرکزی حوزه,surkh_e_parsa,parwan,afghanistan
Afghanistan,افغانستان,AF,Nangarhar,ننگرهار,AF06,NA,NA,NA,NA,Surkh Rod,سرخ رود,AF0603,NA,ER,Eastern,ختیځه حوزه,surkh_rod,nangarhar,afghanistan
Afghanistan,افغانستان,AF,Kabul,کابل,AF01,NA,NA,NA,NA,Surobi,سروبی,AF0115,NA,CR,Capital,مرکزی حوزه,surobi,kabul,afghanistan
Afghanistan,افغانستان,AF,Paktika,پکتیکا,AF12,NA,NA,NA,NA,Surobi,سروبی,AF1210,NA,SE,South Eastern,جنوب ختیځه حوزه,surobi,paktika,afghanistan
Afghanistan,افغانستان,AF,Kapisa,کاپیسا,AF02,NA,NA,NA,NA,Tagab,تگاب,AF0206,NA,CR,Capital,مرکزی حوزه,tagab,kapisa,afghanistan
Afghanistan,افغانستان,AF,Badakhshan,بدخشان,AF17,Kishmi Bala,NA,NA,NA,Tagab,تگاب,AF1717,NA,NE,North Eastern,سهیل ختیځه حوزه,tagab,badakhshan,afghanistan
Afghanistan,افغانستان,AF,Baghlan,بغلان,AF09,NA,NA,NA,NA,Tala Wa Barfak,تاله وبرفک,AF0911,NA,NE,North Eastern,سهیل ختیځه حوزه,tala_wa_barfak,baghlan,afghanistan
Afghanistan,افغانستان,AF,Takhar,تخار,AF18,Centre,NA,NA,NA,Taloqan,تالقان,AF1801,NA,NE,North Eastern,سهیل ختیځه حوزه,taloqan,takhar,afghanistan
Afghanistan,افغانستان,AF,Khost,خوست,AF14,Dargai,NA,NA,NA,Tani,تنی,AF1404,NA,SE,South Eastern,جنوب ختیځه حوزه,tani,khost,afghanistan
Afghanistan,افغانستان,AF,Zabul,زابل,AF26,Shahr-e-Safa,NA,NA,NA,Tarnak Wa Jaldak,ترنک و جلدک,AF2602,NA,SR,Southern,جنوبی حوزه,tarnak_wa_jaldak,zabul,afghanistan
Afghanistan,افغانستان,AF,Ghor,غور,AF23,NA,NA,NA,NA,Taywarah,تیوره,AF2308,NA,WR,Western,لویدیځه حوزه,taywarah,ghor,afghanistan
Afghanistan,افغانستان,AF,Khost,خوست,AF14,Ali Sher,NA,NA,NA,Terezayi,تری زائی,AF1408,NA,SE,South Eastern,جنوب ختیځه حوزه,terezayi,khost,afghanistan
Afghanistan,افغانستان,AF,Badakhshan,بدخشان,AF17,NA,NA,NA,NA,Teshkan,تشکان,AF1711,NA,NE,North Eastern,سهیل ختیځه حوزه,teshkan,badakhshan,afghanistan
Afghanistan,افغانستان,AF,Uruzgan,ارزگان,AF25,Centre,NA,NA,NA,Tirinkot,تیرینکوت,AF2501,NA,SR,Southern,جنوبی حوزه,tirinkot,uruzgan,afghanistan
Afghanistan,افغانستان,AF,Ghor,غور,AF23,NA,NA,NA,NA,Tolak,تولک,AF2309,NA,WR,Western,لویدیځه حوزه,tolak,ghor,afghanistan
Afghanistan,افغانستان,AF,Paktika,پکتیکا,AF12,Tarwe,NA,NA,NA,Turwo,تروو,AF1219,NA,SE,South Eastern,جنوب ختیځه حوزه,turwo,paktika,afghanistan
Afghanistan,افغانستان,AF,Paktika,پکتیکا,AF12,NA,NA,NA,NA,Urgun,ارگون,AF1211,NA,SE,South Eastern,جنوب ختیځه حوزه,urgun,paktika,afghanistan
Afghanistan,افغانستان,AF,Ghazni,غزنی,AF11,NA,NA,NA,NA,Waghaz,واغظ,AF1104,NA,SE,South Eastern,جنوب ختیځه حوزه,waghaz,ghazni,afghanistan
Afghanistan,افغانستان,AF,Badakhshan,بدخشان,AF17,NA,NA,NA,NA,Wakhan,واخان,AF1728,NA,NE,North Eastern,سهیل ختیځه حوزه,wakhan,badakhshan,afghanistan
Afghanistan,افغانستان,AF,Ghazni,غزنی,AF11,Khugyani,NA,NA,NA,Wal-e-Muhammad-e-Shahid,ولی محمد شهید,AF1102,NA,SE,South Eastern,جنوب ختیځه حوزه,wal_e_muhammad_e_shahid,ghazni,afghanistan
Afghanistan,افغانستان,AF,Nuristan,نورستان,AF16,NA,NA,NA,NA,Wama,واما,AF1603,NA,ER,Eastern,ختیځه حوزه,wama,nuristan,afghanistan
Afghanistan,افغانستان,AF,Bamyan,بامیان,AF10,NA,NA,NA,NA,Waras,ورث,AF1007,NA,CH,Central Highland,لوړه مرکزی حوزه,waras,bamyan,afghanistan
Afghanistan,افغانستان,AF,Badakhshan,بدخشان,AF17,NA,NA,NA,NA,Warduj,وردوج,AF1716,NA,NE,North Eastern,سهیل ختیځه حوزه,warduj,badakhshan,afghanistan
Afghanistan,افغانستان,AF,Takhar,تخار,AF18,NA,NA,NA,NA,Warsaj,ورسج,AF1813,NA,NE,North Eastern,سهیل ختیځه حوزه,warsaj,takhar,afghanistan
Afghanistan,افغانستان,AF,Hilmand,هلمند,AF30,NA,NA,NA,NA,Washer,واشیر,AF3005,NA,SR,Southern,جنوبی حوزه,washer,hilmand,afghanistan
Afghanistan,افغانستان,AF,Kunar,کنر ها,AF15,NA,NA,NA,NA,Watapur,وته پور,AF1503,NA,ER,Eastern,ختیځه حوزه,watapur,kunar,afghanistan
Afghanistan,افغانستان,AF,Nuristan,نورستان,AF16,NA,NA,NA,NA,Waygal,وایگل,AF1602,NA,ER,Eastern,ختیځه حوزه,waygal,nuristan,afghanistan
Afghanistan,افغانستان,AF,Paktika,پکتیکا,AF12,NA,NA,NA,NA,Wazakhah,وازه خواه,AF1217,NA,SE,South Eastern,جنوب ختیځه حوزه,wazakhah,paktika,afghanistan
Afghanistan,افغانستان,AF,Paktika,پکتیکا,AF12,NA,NA,NA,NA,Wormamay,وړ ممی,AF1218,NA,SE,South Eastern,جنوب ختیځه حوزه,wormamay,paktika,afghanistan
Afghanistan,افغانستان,AF,Badakhshan,بدخشان,AF17,NA,NA,NA,NA,Yaftal-e-Sufla,یفتل سفلی,AF1704,NA,NE,North Eastern,سهیل ختیځه حوزه,yaftal_e_sufla,badakhshan,afghanistan
Afghanistan,افغانستان,AF,Paktika,پکتیکا,AF12,NA,NA,NA,NA,Yahya Khel,یحی خیل,AF1204,NA,SE,South Eastern,جنوب ختیځه حوزه,yahya_khel,paktika,afghanistan
