OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_en,admin0Name_es,admin0Pcode,date,validOn,validTo
847,Libertador,VE201601,NA,NA,NA,Libertador,VE2016,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
848,Emeterio Ochoa,VE201602,NA,NA,NA,Libertador,VE2016,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
849,Doradas,VE201603,NA,NA,NA,Libertador,VE2016,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
850,San Joaquín de Navay,VE201604,San Joaquin de Navay,NA,NA,Libertador,VE2016,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
851,Lobatera,VE201701,NA,NA,NA,Lobatera,VE2017,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
852,Constitución,VE201702,Constitucion,NA,NA,Lobatera,VE2017,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
853,Capital Michelena,VE201801,NA,NA,NA,Michelena,VE2018,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
854,Panamericano,VE201901,NA,NA,NA,Panamericano,VE2019,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
855,Pedro María Ureña,VE202001,Pedro Maria Urena,NA,NA,Pedro María Ureña,VE2020,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
856,Nueva Arcadia,VE202002,NA,NA,NA,Pedro María Ureña,VE2020,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
857,Delicias,VE202101,NA,NA,NA,Rafael Urdaneta,VE2021,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
858,Samuel Darío Maldonado,VE202201,Samuel Dario Maldonado,NA,NA,Samuel Darío Maldonado,VE2022,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
859,Boconó,VE202202,Bocono,NA,NA,Samuel Darío Maldonado,VE2022,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
860,Hernández,VE202203,Hernandez,NA,NA,Samuel Darío Maldonado,VE2022,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
861,La Concordia,VE202301,NA,NA,NA,San Cristóbal,VE2023,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
862,Pedro María Morantes,VE202302,Pedro Maria Morantes,NA,NA,San Cristóbal,VE2023,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
863,San Juan Bautista,VE202303,NA,NA,NA,San Cristóbal,VE2023,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
864,San Sebastián,VE202304,San Sebastian,NA,NA,San Cristóbal,VE2023,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
865,Dr. Francisco Romero Lobo,VE202305,NA,NA,NA,San Cristóbal,VE2023,Táchira,VE20,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
