OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,ValidTo
141,El Arish 3,قسم ثالث العريش,EG3403,El Arish 3,NA,NA,NA,NA,North Sinai,شمال سيناء,EG34,Egypt,مِصر,EG,1136073600000,1492732800000,NA
142,El Arish 4,قسم رابع العريش,EG3404,El Arish 4,NA,NA,NA,NA,North Sinai,شمال سيناء,EG34,Egypt,مِصر,EG,1136073600000,1492732800000,NA
143,El Mahalla El Kobra,مركز المحله الكبرى,EG1607,El Mahalla El Kobra,NA,NA,NA,NA,Gharbia,الغربية,EG16,Egypt,مِصر,EG,1136073600000,1492732800000,NA
144,El Mahalla El Kobra 1,قسم أول المحلة الكبرى,EG1605,El Mahalla El Kobra 1,NA,NA,NA,NA,Gharbia,الغربية,EG16,Egypt,مِصر,EG,1136073600000,1492732800000,NA
145,El Mahalla El Kobra 2,قسم ثان المحلة الكبرى,EG1606,El Mahalla El Kobra 2,NA,NA,NA,NA,Gharbia,الغربية,EG16,Egypt,مِصر,EG,1136073600000,1492732800000,NA
146,El Mansora,مركز المنصورة,EG1203,El Mansora,NA,NA,NA,NA,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,1136073600000,1492732800000,NA
147,El Mansora 1,قسم اول المنصورة,EG1201,El Mansora 1,NA,NA,NA,NA,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,1136073600000,1492732800000,NA
148,Faqus,قسم فاقوس,EG1311,Faqus,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
149,Faqus,مركز فاقوس,EG1312,Faqus,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
150,Fariskur,مركز فارسكور,EG1103,Fariskur,NA,NA,NA,NA,Damietta,دمياط,EG11,Egypt,مِصر,EG,1136073600000,1492732800000,NA
151,Farshut,مركز فرشوط,EG2710,Farshut,NA,NA,NA,NA,Qena,قنا,EG27,Egypt,مِصر,EG,1136073600000,1492732800000,NA
152,Fayid,مركز فايد,EG1907,Fayid,NA,NA,NA,NA,Ismailia,الإسماعيلية,EG19,Egypt,مِصر,EG,1136073600000,1492732800000,NA
153,Faysal,قسم فيصل,EG0404,Faysal,NA,NA,NA,NA,Suez,السويس,EG04,Egypt,مِصر,EG,1136073600000,1492732800000,NA
