OBJECTID,admin3Name_en,admin3Name_th,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_th,admin3AltName2_th,admin2Name_en,admin2Name_th,admin2Pcode,admin1Name_en,admin1Name_th,admin1Pcode,admin0Name_en,admin0Name_th,admin0Pcode,date,validOn,validTo
2545,Khu Yai Mi,คู้ยายหมี,TH240801,NA,NA,NA,NA,NA,Sanam Chai Khet,สนามชัยเขต,TH2408,Chachoengsao,ฉะเชิงเทรา,TH24,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2546,Khua Kai,ขัวก่าย,TH470803,NA,NA,NA,NA,NA,Wanon Niwat,วานรนิวาส,TH4708,Sakon Nakhon,สกลนคร,TH47,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2547,Khua Mung,ขัวมุง,TH501905,NA,NA,NA,NA,NA,Saraphi,สารภี,TH5019,Chiang Mai,เชียงใหม่,TH50,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2548,Khua Riang,ขัวเรียง,TH400505,NA,NA,NA,NA,NA,Chum Phae,ชุมแพ,TH4005,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2549,Khuan,ควน,TH940405,NA,NA,NA,NA,NA,Panare,ปะนาเระ,TH9404,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2550,Khuan,ควร,TH560602,NA,NA,NA,NA,NA,Pong,ปง,TH5606,Phayao,พะเยา,TH56,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2551,Khuan Chalik,ควนชะลิก,TH801609,NA,NA,NA,NA,NA,Hua Sai,หัวไทร,TH8016,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2552,Khuan Chum,ควนชุม,TH801306,NA,NA,NA,NA,NA,Ron Phibun,ร่อนพิบูลย์,TH8013,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2553,Khuan Don,ควนโดน,TH910201,NA,NA,NA,NA,NA,Khuan Don,ควนโดน,TH9102,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2554,Khuan Kalong,ควนกาหลง,TH910302,NA,NA,NA,NA,NA,Khuan Kalong,ควนกาหลง,TH9103,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2555,Khuan Khan,ควนขัน,TH910103,NA,NA,NA,NA,NA,Mueang Satun,เมืองสตูล,TH9101,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2556,Khuan Khanun,ควนขนุน,TH930302,NA,NA,NA,NA,NA,Khao Chaison,เขาชัยสน,TH9303,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2557,Khuan Khanun,ควนขนุน,TH930501,NA,NA,NA,NA,NA,Khuan Khanun,ควนขนุน,TH9305,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2558,Khuan Klang,ควนกลาง,TH800505,NA,NA,NA,NA,NA,Phipun,พิปูน,TH8005,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2559,Khuan Koei,ควนเกย,TH801304,NA,NA,NA,NA,NA,Ron Phibun,ร่อนพิบูลย์,TH8013,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2560,Khuan Krot,ควนกรด,TH800904,NA,NA,NA,NA,NA,Thung Song,ทุ่งสง,TH8009,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2561,Khuan Lang,ควนลัง,TH901102,NA,NA,NA,NA,NA,Hat Yai,หาดใหญ่,TH9011,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2562,Khuan Mao,ควนเมา,TH920901,NA,NA,NA,NA,NA,Ratsada,รัษฎา,TH9209,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2563,Khuan Maphrao,ควนมะพร้าว,TH930111,NA,NA,NA,NA,NA,Mueang Phatthalung,เมืองพัทลุง,TH9301,Phatthalung,พัทลุง,TH93,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2564,Khuan Nong Hong,ควนหนองหงษ์,TH800709,NA,NA,NA,NA,NA,Cha-Uat,ชะอวด,TH8007,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2565,Khuan Nong Kwa,ควนหนองคว้า,TH801903,NA,NA,NA,NA,NA,Chulabhorn,จุฬาภรณ์,TH8019,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2566,Khuan Nori,ควนโนรี,TH940214,NA,NA,NA,NA,NA,Khok Pho,โคกโพธิ์,TH9402,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2567,Khuan Phang,ควนพัง,TH801305,NA,NA,NA,NA,NA,Ron Phibun,ร่อนพิบูลย์,TH8013,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2568,Khuan Pho,ควนโพธิ์,TH910111,NA,NA,NA,NA,NA,Mueang Satun,เมืองสตูล,TH9101,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
