admin0Name_en,admin0Pcode,admin1Name_en,admin1Pcode,admin2Name_en,admin2Pcode,admin3AltName1_en,admin3AltName2_en,admin3Name_en,admin3Pcode,admin3RefName
Angola,AO,Cuanza Sul,AO07,Libolo (Calulo),AO07054,NA,NA,Kissongo,AO07054183,NA
Angola,AO,Malanje,AO14,Kiuaba-N'Zoji (Cuaba Nzogo),AO14119,NA,NA,Kiwaba-Ngozi,AO14119385,NA
Angola,AO,Bengo,AO01,Nambuangongo,AO01005,NA,NA,Kixico,AO01005021,NA
Angola,AO,Luanda,AO11,"Quissama (Muxima, Quiçama)",AO11004,NA,NA,Kixinje,AO11004014,NA
Angola,AO,Malanje,AO14,Cacuso,AO14114,NA,NA,Kizenga,AO14114366,NA
Angola,AO,Cuanza Sul,AO07,Conda,AO07052,NA,NA,Konda,AO07052176,NA
Angola,AO,Malanje,AO14,Calandula,AO14115,NA,NA,Kota,AO14115372,NA
Angola,AO,Malanje,AO14,Calandula,AO14115,NA,NA,Kuale,AO14115373,NA
Angola,AO,Cuando Cubango,AO05,Cuchi,AO05030,NA,NA,Kuchi,AO05030112,NA
Angola,AO,Cuando Cubango,AO05,Menongue,AO05034,NA,NA,Kueio,AO05034126,NA
Angola,AO,Bié,AO03,Cuemba,AO03020,NA,NA,Kuemba,AO03020080,NA
Angola,AO,Uíge,AO17,Maquela do Zombo,AO17148,NA,NA,Kuilu Futa,AO17148479,NA
Angola,AO,Bié,AO03,Cuito (Kuito),AO03022,NA,NA,Kuito,AO03022087,NA
Angola,AO,Cuando Cubango,AO05,Cuito Cuanavale,AO05031,NA,NA,Kuito Kuanavale,AO05031115,NA
Angola,AO,Malanje,AO14,Cangandala,AO14117,NA,NA,Kulamagia,AO14117379,NA
Angola,AO,Huambo,AO10,Londuimbale,AO10086,NA,NA,Kumbila,AO10086280,NA
Angola,AO,Malanje,AO14,Cunda-dia-Baze,AO14120,NA,NA,Kunda-Dia-Baze,AO14120387,NA
Angola,AO,Bié,AO03,Cunhinga,AO03021,NA,NA,Kunhinga,AO03021084,NA
Angola,AO,Cuando Cubango,AO05,Mavinga,AO05033,NA,NA,Kunjamba,AO05033121,NA
Angola,AO,Cuanza Sul,AO07,Conda,AO07052,NA,NA,Kunju,AO07052177,NA
Angola,AO,Huíla,AO09,Caconda,AO09068,NA,NA,Kusse,AO09068228,NA
Angola,AO,Bié,AO03,Chinguar,AO03018,NA,NA,Kutato,AO03018073,NA
Angola,AO,Cuando Cubango,AO05,Cuchi,AO05030,NA,NA,Kutato,AO05030113,NA
Angola,AO,Cuando Cubango,AO05,Mavinga,AO05033,NA,NA,Kutuile,AO05033122,NA
Angola,AO,Huíla,AO09,Cuvango (Kuvango),AO09076,NA,NA,Kuvango,AO09076248,NA
Angola,AO,Cunene,AO08,Cuvelai,AO08065,NA,NA,Kuvati,AO08065216,NA
Angola,AO,Cunene,AO08,Cuvelai,AO08065,NA,NA,Kuvelai,AO08065217,NA
Angola,AO,Bié,AO03,Camacupa,AO03016,NA,NA,Kwanza,AO03016063,NA
Angola,AO,Moxico,AO15,Luacano,AO15133,NA,NA,Lago-Dilolo,AO15133428,NA
Angola,AO,Benguela,AO02,Cubal,AO02012,NA,NA,Lambala,AO02012046,NA
Angola,AO,Malanje,AO14,Cunda-dia-Baze,AO14120,NA,NA,Lemba,AO14120388,NA
Angola,AO,Uíge,AO17,Damba,AO17147,NA,NA,Lemboa,AO17147473,NA
Angola,AO,Huambo,AO10,Longonjo,AO10087,NA,NA,Lepi,AO10087285,NA
Angola,AO,Moxico,AO15,Léua,AO15131,NA,NA,Leua,AO15131425,NA
Angola,AO,Moxico,AO15,Léua,AO15131,NA,NA,Liangongo,AO15131426,NA
Angola,AO,Benguela,AO02,Lobito,AO02014,NA,NA,Lobito,AO02014057,NA
Angola,AO,Benguela,AO02,Catumbela,AO02164,NA,NA,Lobito,AO02164057,NA
Angola,AO,Namibe,AO16,Bibala,AO16137,NA,NA,Lola,AO16137448,NA
Angola,AO,Malanje,AO14,Cacuso,AO14114,NA,NA,Lombe,AO14114367,NA
Angola,AO,Huambo,AO10,Londuimbale,AO10086,NA,NA,Londuimbali,AO10086281,NA
Angola,AO,Cuando Cubango,AO05,Cuito Cuanavale,AO05031,NA,NA,Longa,AO05031116,NA
Angola,AO,Huambo,AO10,Longonjo,AO10087,NA,NA,Longonjo,AO10087286,NA
Angola,AO,Cuanza Sul,AO07,Quibala,AO07057,NA,NA,Lonhe,AO07057192,NA
Angola,AO,Lunda Norte,AO12,Chitato (Lóvua),AO12104,NA,NA,Lovua,AO12104334,NA
Angola,AO,Moxico,AO15,Alto Zambeze,AO15128,NA,NA,Lovua,AO15128420,NA
Angola,AO,Moxico,AO15,Luacano,AO15133,NA,NA,Luacano,AO15133429,NA
Angola,AO,Lunda Norte,AO12,Chitato (Lóvua),AO12104,NA,NA,Luachimo,AO12104335,NA
Angola,AO,Cabinda,AO04,Belize,AO04024,NA,NA,Luali,AO04024095,NA
Angola,AO,Bié,AO03,Cuemba,AO03020,NA,NA,Luando,AO03020081,NA
Angola,AO,Lunda Norte,AO12,Lubalo,AO12107,NA,NA,Luangue,AO12107340,NA
Angola,AO,Lunda Sul,AO13,Cacolo,AO13110,NA,NA,Luangue,AO13110340,NA
Angola,AO,Moxico,AO15,Luau,AO15132,NA,NA,Luau,AO15132427,NA
Angola,AO,Lunda Norte,AO12,Lubalo,AO12107,NA,NA,Lubalo,AO12107341,NA
Angola,AO,Huíla,AO09,Lubango,AO09077,NA,NA,Lubango,AO09077253,NA
Angola,AO,Bié,AO03,N'harea,AO03023,NA,NA,Lubia,AO03023092,NA
Angola,AO,Lunda Norte,AO12,Lucapa,AO12108,NA,NA,Lucapa,AO12108345,NA
Angola,AO,Moxico,AO15,Luchazes,AO15134,NA,NA,Luchazes,AO15134432,NA
Angola,AO,Namibe,AO16,Namibe,AO16139,NA,NA,Lucira,AO16139454,NA
Angola,AO,Uíge,AO17,Bembe,AO17144,NA,NA,Lucunga,AO17144466,NA
Angola,AO,Moxico,AO15,Luena,AO15136,NA,NA,Lucusse,AO15136443,NA
Angola,AO,Moxico,AO15,Luena,AO15136,NA,NA,Luena,AO15136444,NA
Angola,AO,Cuando Cubango,AO05,Mavinga,AO05033,NA,NA,Luengue,AO05033123,NA
Angola,AO,Zaire,AO18,Nóqui,AO18161,NA,NA,Lufico,AO18161517,NA
Angola,AO,Lunda Norte,AO12,Cambulo,AO12101,NA,NA,Luia,AO12101328,NA
Angola,AO,Cuando Cubango,AO05,Rivungo,AO05036,NA,NA,Luiana,AO05036130,NA
Angola,AO,Cuanza Norte,AO06,Ambaca,AO06037,NA,NA,Luinga,AO06037135,NA
Angola,AO,Cuanza Norte,AO06,Lucala,AO06045,NA,NA,Lukala,AO06045162,NA
Angola,AO,Zaire,AO18,Nóqui,AO18161,NA,NA,Lulendo,AO18161518,NA
Angola,AO,Lunda Sul,AO13,Dala,AO13111,NA,NA,Luma Cassai,AO13111357,NA
Angola,AO,Moxico,AO15,Alto Zambeze,AO15128,NA,NA,Lumbala,AO15128421,NA
Angola,AO,Moxico,AO15,Bundas (Lumbala-Nguimbo),AO15135,NA,NA,Lumbala-Nguimbo,AO15135436,NA
Angola,AO,Huambo,AO10,Bailundo,AO10081,NA,NA,Lunge,AO10081264,NA
Angola,AO,Cuando Cubango,AO05,Cuito Cuanavale,AO05031,NA,NA,Lupire,AO05031117,NA
Angola,AO,Malanje,AO14,Luquembo,AO14121,NA,NA,Luquembo,AO14121393,NA
Angola,AO,Lunda Norte,AO12,Cuango,AO12105,NA,NA,Luremo,AO12105337,NA
Angola,AO,Moxico,AO15,Bundas (Lumbala-Nguimbo),AO15135,NA,NA,Lutembo,AO15135437,NA
Angola,AO,Moxico,AO15,Luena,AO15136,NA,NA,Lutuai,AO15136445,NA
Angola,AO,Huambo,AO10,Bailundo,AO10081,NA,NA,Luvemba,AO10081265,NA
Angola,AO,Zaire,AO18,Mbanza Congo,AO18159,NA,NA,Luvo,AO18159510,NA
Angola,AO,Moxico,AO15,Bundas (Lumbala-Nguimbo),AO15135,NA,NA,Luvuei,AO15135438,NA
Angola,AO,Uíge,AO17,Bembe,AO17144,NA,NA,Mabaia,AO17144467,NA
Angola,AO,Bengo,AO01,Dande,AO01002,NA,NA,Mabubas,AO01002007,NA
Angola,AO,Uíge,AO17,Milunga,AO17149,NA,NA,Macocola,AO17149482,NA
Angola,AO,Uíge,AO17,Milunga,AO17149,NA,NA,Macolo,AO17149483,NA
Angola,AO,Luanda,AO11,Luanda,AO11094,NA,NA,Maculusso,AO11094307,NA
Angola,AO,Zaire,AO18,Mbanza Congo,AO18159,NA,NA,Madimba,AO18159511,NA
Angola,AO,Luanda,AO11,Luanda,AO11094,NA,NA,Maianga,AO11094311,NA
Angola,AO,Malanje,AO14,Malanje,AO14122,NA,NA,Malanje,AO14122398,NA
Angola,AO,Cabinda,AO04,Cabinda,AO04026,NA,NA,Malembo,AO04026101,NA
Angola,AO,Bié,AO03,Chitembo,AO03019,NA,NA,Malengue,AO03019076,NA
Angola,AO,Uíge,AO17,Maquela do Zombo,AO17148,NA,NA,Maquela do Zombo,AO17148480,NA
Angola,AO,Luanda,AO11,Luanda,AO11094,NA,NA,Marcal,AO11094313,NA
Angola,AO,Malanje,AO14,Marimba,AO14123,NA,NA,Marimba,AO14123401,NA
Angola,AO,Cabinda,AO04,Cacongo (Landana),AO04027,NA,NA,Massabi,AO04027105,NA
Angola,AO,Malanje,AO14,Massango,AO14124,NA,NA,Massango,AO14124405,NA
Angola,AO,Uíge,AO17,Milunga,AO17149,NA,NA,Massau,AO17149484,NA
Angola,AO,Huíla,AO09,Matala,AO09078,NA,NA,Matala,AO09078255,NA
Angola,AO,Cuanza Norte,AO06,Ambaca,AO06037,NA,NA,Maua,AO06037136,NA
Angola,AO,Cuando Cubango,AO05,Calai,AO05028,NA,NA,Maue,AO05028107,NA
Angola,AO,Cuando Cubango,AO05,Mavinga,AO05033,NA,NA,Mavinga,AO05033124,NA
Angola,AO,Zaire,AO18,Mbanza Congo,AO18159,NA,NA,Mbanza Congo,AO18159512,NA
Angola,AO,Huambo,AO10,Tchikala-Tcholohanga,AO10089,NA,NA,Mbave,AO10089290,NA
Angola,AO,Malanje,AO14,Cangandala,AO14117,NA,NA,Mbembo,AO14117380,NA
Angola,AO,Cuando Cubango,AO05,Menongue,AO05034,NA,NA,Menongue,AO05034127,NA
