OBJECTID,admin3Name_en,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_fr,admin3AltName2_fr,admin2Name_en,admin2Name_fr,admin2Pcode,admin1Name_en,admin1Name_fr,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Pcode,date,validOn,validTo
179,NA,Lokoundje,CM009003006,NA,NA,NA,NA,NA,NA,Océan,CM009003,South,Sud,CM009,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
180,NA,Lolodorf,CM009003007,NA,NA,NA,NA,NA,NA,Océan,CM009003,South,Sud,CM009,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
181,NA,Lomie,CM003002007,NA,NA,NA,NA,NA,NA,Haut-Nyong,CM003002,East,Est,CM003,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
182,NA,Loum,CM005001004,NA,NA,NA,NA,NA,NA,Moungo,CM005001,Littoral,Littoral,CM005,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
183,NA,Maan,CM009004003,NA,NA,NA,NA,NA,NA,Vallée-du-Ntem,CM009004,South,Sud,CM009,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
184,NA,Madingring,CM006004001,NA,NA,NA,NA,NA,NA,Mayo-Rey,CM006004,North,Nord,CM006,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
185,NA,Maga,CM004003007,NA,NA,NA,NA,NA,NA,Mayo-Danay,CM004003,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
186,NA,Magba,CM008008006,NA,NA,NA,NA,NA,NA,Noun,CM008008,West,Ouest,CM008,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
187,NA,Makak,CM002008006,NA,NA,NA,NA,NA,NA,Nyong-et-Kellé,CM002008,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
188,NA,Makary,CM004002008,NA,NA,NA,NA,NA,NA,Logone-et-Chari,CM004002,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
189,NA,Makenene,CM002003006,NA,NA,NA,NA,NA,NA,Mbam-et-Inoubou,CM002003,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
190,NA,Malantouen,CM008008007,NA,NA,NA,NA,NA,NA,Noun,CM008008,West,Ouest,CM008,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
191,NA,Mamfe,CM010004003,NA,NA,NA,NA,NA,NA,Manyu,CM010004,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
192,NA,Mandjou,CM003004007,NA,NA,NA,NA,NA,NA,Lom-et-Djérem,CM003004,East,Est,CM003,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
193,NA,Manjo,CM005001005,NA,NA,NA,NA,NA,NA,Moungo,CM005001,Littoral,Littoral,CM005,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
194,NA,Maroua 1er,CM004001004,NA,NA,NA,NA,NA,NA,Diamaré,CM004001,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
195,NA,Maroua 2e,CM004001005,NA,NA,NA,NA,NA,NA,Diamaré,CM004001,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
196,NA,Maroua 3e,CM004001006,NA,NA,NA,NA,NA,NA,Diamaré,CM004001,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
197,NA,Martap,CM001005002,NA,NA,NA,NA,NA,NA,Vina,CM001005,Adamawa,Adamaoua,CM001,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
198,NA,Massangam,CM008008008,NA,NA,NA,NA,NA,NA,Noun,CM008008,West,Ouest,CM008,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
199,NA,Massock-Songloulou,CM005003005,NA,NA,NA,NA,NA,NA,Sanaga-Maritime,CM005003,Littoral,Littoral,CM005,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
200,NA,Matomb,CM002008007,NA,NA,NA,NA,NA,NA,Nyong-et-Kellé,CM002008,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
201,NA,Mayo-Baleo,CM001002003,NA,NA,NA,NA,NA,NA,Faro-et-Déo,CM001002,Adamawa,Adamaoua,CM001,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
202,NA,Mayo-Darle,CM001003003,NA,NA,NA,NA,NA,NA,Mayo-Banyo,CM001003,Adamawa,Adamaoua,CM001,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
203,NA,Mayo-Hourna,CM006001009,NA,NA,NA,NA,NA,NA,Bénoué,CM006001,North,Nord,CM006,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
204,NA,Mayo-Moskota,CM004006004,NA,NA,NA,NA,NA,NA,Mayo-Tsanaga,CM004006,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
205,NA,Mayo-Oulo,CM006003003,NA,NA,NA,NA,NA,NA,Mayo-Louti,CM006003,North,Nord,CM006,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
206,NA,Mbalmayo,CM002010003,NA,NA,NA,NA,NA,NA,Nyong-et-So'o,CM002010,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
207,NA,Mbandjock,CM002001003,NA,NA,NA,NA,NA,NA,Haute-Sanaga,CM002001,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
208,NA,Mbang,CM003003004,NA,NA,NA,NA,NA,NA,Kadey,CM003003,East,Est,CM003,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
209,NA,Mbanga,CM005001006,NA,NA,NA,NA,NA,NA,Moungo,CM005001,Littoral,Littoral,CM005,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
210,NA,Mbangassina,CM002004001,NA,NA,NA,NA,NA,NA,Mbam-et-Kim,CM002004,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
211,NA,Mbankomo,CM002006003,NA,NA,NA,NA,NA,NA,Mefou-et-Akono,CM002006,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
212,NA,Mbe,CM001005003,NA,NA,NA,NA,NA,NA,Vina,CM001005,Adamawa,Adamaoua,CM001,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
213,NA,Mbengwi,CM007006002,NA,NA,NA,NA,NA,NA,Momo,CM007006,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
214,NA,Mboanz,CM003002008,NA,NA,NA,NA,NA,NA,Haut-Nyong,CM003002,East,Est,CM003,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
215,NA,Mboma,CM003002009,NA,NA,NA,NA,NA,NA,Haut-Nyong,CM003002,East,Est,CM003,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
